Instance,LastWeek,Authority__column,Cohort__column,Degree__column,Hub__column,In-Degree__column,NumPosts__column,Out-Degree__column,Post Density__column,Post Duration__column,Subthreadstarter__column,Threadstarter__column,Week__column
1013,True,0.032446475,Coh2,0.025,0.0,0.05,0.04,0.0,0.001,0.0,0.0,0.0,1.0
1014,False,0.032446475,Coh2,0.025,0.0,0.05,0.04,0.0,0.001,0.0,0.0,0.0,1.0
1015,False,0.084745775,Coh2,0.05,0.0,0.1,0.08,0.0,0.00240048,0.877018947,0.0,0.0,2.0
1016,False,0.155521,Coh2,0.075,0.0,0.15,0.16,0.0,0.0226294,0.186064211,1.0,0.0,3.0
1017,False,0.09784735,Coh2,0.025,0.0,0.05,0.08,0.0,0.04302,0.048936842,0.0,0.0,4.0
1018,False,0.0,Coh2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1019,False,0.0,Coh2,0.35,0.2232143,0.0,0.04,0.466666667,0.001,0.0,0.0,1.0,6.0
1020,True,0.0486697,Coh2,0.05,0.0,0.1,0.08,0.0,0.0114309,0.184172632,0.0,0.0,1.0
1021,True,0.064892925,Coh2,0.075,0.0,0.15,0.12,0.0,1.0,0.001358947,0.0,0.0,1.0
1022,True,0.032446475,Coh2,0.025,0.0,0.05,0.04,0.0,0.001,0.0,0.0,0.0,1.0
1023,True,0.032446475,Coh2,0.025,0.0,0.05,0.04,0.0,0.001,0.0,0.0,0.0,1.0
1024,True,0.032446475,Coh2,0.025,0.0,0.05,0.04,0.0,0.001,0.0,0.0,0.0,1.0
1025,True,0.032446475,Coh2,0.025,0.0,0.05,0.04,0.0,0.001,0.0,0.0,0.0,1.0
1026,True,0.032446475,Coh2,0.075,0.0529661,0.05,0.12,0.066666667,0.0734017,0.043022105,0.0,1.0,1.0
1027,True,0.0486697,Coh2,0.05,0.0,0.1,0.08,0.0,0.434499,0.004845263,0.0,0.0,1.0
1028,False,0.08111615,Coh2,0.1,0.0,0.2,0.32,0.0,0.0278896,0.301942105,1.0,0.0,1.0
1029,True,0.056497175,Coh2,0.025,0.0,0.05,0.04,0.0,0.001,0.0,0.0,0.0,2.0
1030,True,0.0486697,Coh2,0.05,0.0,0.1,0.12,0.0,0.425411,0.007423158,0.0,0.0,1.0
